AGNname	galaxyName	environment	degreesJ2000RA_DecAGN	degreesJ2000RA_DecGalaxy	likelihood	likelihood_1.5	virialRadius	d^1.5	impactParameter (kpc)	vcorrGalaxy (km/s)	vel_diff	distGalaxy (Mpc)	majorAxis (kpc)	minorAxis (kpc)	inclination (deg)	positionAngle (deg)	azimuth (deg)	RC3flag	RC3type	RC3inc (deg)	RC3pa (deg)	morphology	final_morphology	galaxyRedshift	AGNredshift	spectrumStatus	include	include_vir	include_custom	Lya_v	vlimits	Lya_W	Na	b	identified	comment
SBS1108+560	UGC06225	3	"('167.88375', '55.79028')"	"(167.87904, 55.67411)"	1.950964074	1.960010175	228.3555832	270.2492035	29.04206628	910.4	-18.6	14.32	41.8	9.2	77.3	83	81.7	NGC3556	.SBS6./	75.1	80	SB(s)cd        HII	SB(s)cd        HII	0.002332	0.765	DG	1	1	1	929	"895, 1017"	284pm51	5.69E13pm1.78E13	46.1pm1.8	d:Lya	"d:Lya marked at 929, center is 956"
SBS1122+594	NGC3642	12	"('171.47375', '59.17278')"	"(170.57455, 59.07451)"	0.10182029	0.012464944	149.8503775	108.1530536	226.4484462	1789.9	-6.1	27.5	22.7	22.5	8.1	75	3	NGC3642	.SAR4*.	33.7	105	SA(r)bc:;LINER Sy3	SA(r)bc:;LINER Sy3	0.005297	0.858	DG	0	0	1	1796	"1771, 1821"	29pm8	5.92E12pm1.81E12	19.6pm2.4	no	"very weak, center is 1796; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J0714.5+7408	UGC03717	1	"('108.65083', '74.13639')"	"(108.31017, 73.84314)"	0.165001996	0.178494415	201.6273975	206.1760146	270.6033265	4268.8	4.8	50.35	34.9	16.8	61.3	115	82.6	UGC3717	.S..4..	68.7	103	Sbc	Sbc	0.01397	0.371	SP	1	1	1	4264	"4164, 4354"	410pm9	1.70E14pm7.19E12	43.8pm2.6	done	"very likely Lya, but not yet fully identified, center is 4259 : ONLY 1 GALAXY"
1H0717+714	UGC03804	1	"('110.47208', '71.34333')"	"(110.64454, 71.59894)"	0.235851491	0.137684781	172.7694299	147.3690571	207.1430497	2972.8	16.8	45.4	27.9	16.7	53.1	5	7.2	UGC3804	.S..6*.	52.9	13	Scd:	Scd:	0.00963	0.5003	SP	1	1	1	2956	"2954, 3022"	39pm4	7.94E12pm8.35E11	24.4pm2.4	d:Lya	"d:Lya labeled at 2956, center is 2988, blended with 2870 - needs fitting; p : ONLY 1 GALAXY"
3C351.0	NGC6310	6	"('256.1725', '60.74194')"	"(256.98946, 60.99017)"	0.015350893	0.017062009	200.0300187	202.6416171	406.3431189	3525.7	44.7	49.65828781	34.5	8.3	76.1	70	11.9	NGC6310	.S..3*/	77.7	69	Sb: sp	Sb: sp	0.011405	0.3719	SP	0	0	1	3481	"3372, 3520"	145pm15	3.19E13pm3.76E12	49.0pm3.2	Lya	"Lya labeled at 3481, I measure 3446. Lots of large galaxies around : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRK290	NGC5987	2	"('233.96792', '57.9025')"	"(234.98904, 58.07953)"	0.09227992	0.871277694	322.0594318	570.666866	486.0114481	3170	65	48.9	68.8	29.6	64.5	60	11.9	NGC5987	.S..3..	71.6	165	Sb	Sb	0.01004	0.0296	SP	1	1	1	3105	"2966, 3170"	511pm5	2.01E14pm3.76E12	57.0pm2.6	done	center is 3068
MRK1014	SDSSJ020017.78+003715.5	1	"('29.95917', '0.39472')"	"(30.07412, 0.62098)"	1.93E-07	1.39E-21	121.7484398	68.85950915	476.5102478	7638.2	75.2	107.5800139	16.8	6.6	67	148	58.9	0	x	x	x	x	x	0.026371	0.163	SP	0	0	0	7563	"7466, 7658"	416pm10	1.58E14pm6.54E12	46.3pm1.9	d:Lya	"center is 7562, strong, but far away from galaxy; p : ONLY 1 GALAXY"
1H0717+714	UGC03804	1	"('110.47208', '71.34333')"	"(110.64454, 71.59894)"	0.182374512	0.106466127	172.7694299	147.3690571	207.1430497	2972.8	102.8	45.4	27.9	16.7	53.1	5	7.2	UGC3804	.S..6*.	52.9	13	Scd:	Scd:	0.00963	0.5003	SP	1	1	1	2870	"2760, 2960"	343pm6	9.25E13pm1.97E12	57.1pm1.7	d:Lya	"blended with 2956, center is 2860; p : ONLY 1 GALAXY"
TON1009	KUG0906+333ANED01	2	"('137.27542', '32.60861')"	"(137.33077, 33.12324)"	2.52E-11	1.07E-51	100.9194509	45.79467218	495.4975368	3900.9	108.9	54.94195498	12.8	5.6	64.1	x	x	0	x	x	x	x	x	0.012359	0.809	RT	0	0	0	3792	"3750, 3832"	132pm12	3.44E13pm3.81E12	26.3pm2.5	Lya	Lya labeled at 3792 _ I measure 3791. Ambigous : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080908.13+461925.6	UGC04260	2	"('122.28375', '46.32389')"	"(122.78651, 46.4654)"	0.00018021	1.42E-35	75.46623913	24.34551293	217.6633981	2391	110	33.299999	8.4	3.5	65.2	110	42.2	UGC4260	.I..9*.	24.2	-99	Im:	Im:	0.007519	0.6563	SP	0	0	0	2281	"2228, 2336"	85pm12	1.79e13pm2.85E12	33.1pm2.7	d:Lya	"d:Lya marked at 2281, center is 2282 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ080908.13+461925.6	SDSSJ080842.74+461828.9	1	"('122.28375', '46.32389')"	"(122.17811, 46.30809)"	0.141003105	0.000351986	103.0851275	47.95798161	132.6306394	7227.2	110.2	101.791107	13.2	10.6	36.9	74	3.8	0	x	x	x	x	x	0.023656	0.6563	SP	1	1	0	7117	"7024, 7180"	176pm12	4.06E13pm3.26E12	50.5pm3.7	d:Lya	"d:Lya labeled at 7117, center is 7102 : ONLY 1 GALAXY"
PG1307+085	CGCG072-007	2	"('197.44583', '8.32972')"	"(197.31227, 8.53172)"	0.003571441	0.002650657	193.1759035	187.8498124	439.8537278	7413.2	134.2	104.411924	32.8	21	50.2	10	43.2	0	x	x	x	x	x	0.023746	0.155	SP	1	1	1	7279	"7245, 7327"	64pm7	1.35E13pm1.66E12	28.0pm2.4	d:Lya	"d:Lya labeled at 7279 - I measure 7286, companion galaxy SDSSJ130918.61+083008.; p"
3C351.0	SDSSJ170325.13+603944.4	1	"('256.1725', '60.74194')"	"(255.85472, 60.66234)"	0.000411713	4.87E-12	116.1905373	62.20846405	314.6773872	7327.7	135.7	103.2071228	15.7	11.3	43.9	87	24.1	0	x	x	x	x	x	0.024078	0.3719	SP	0	0	0	7192	"7104, 7216"	63pm11	1.29E13pm2.43E12	32.8pm6.2	Lya	"Lya labeled at 7192, I measure 7160 : ONLY 1 GALAXY"
SBS1503+570	NGC5907	15	"('226.23150', '56.82230')"	"(228.97404, 56.32877)"	0.05947114	0.497060632	294.7210858	470.5795629	452.0909184	843	137	16.3	60.5	6.6	83.7	x	46.8	NGC5907	.SAS5*/	83.7	155	SA(s)c: sp     HII:	SA(s)c: sp     HII:	0.002225	0.3589	SP	0	1	1	706	"631, 757"	302pm24	9.17E13pm1.24E13	42.1pm1.7	Lya	"Lya marked 705, center is 694 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879; excluded due to crowded field"
SBS1537+577	SDSSJ153802.75+573018.3	5	"('234.54167', '57.60361')"	"(234.5115, 57.50508)"	0.209360783	0.000344159	86.86757243	33.05642146	90.50600729	3687.3	138.3	51.93368351	10.3	1.9	79.6	24	14.7	0	x	x	x	Sd(f)	Sd(f)	0.011759	0.0734	SP	1	1	0	3549	"3456, 3670"	447pm28	1.40E14pm1.38E13	53.2pm3.6	Lya	center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH
H1101-232	NGC3511	2	"('165.90708', '-23.49194')"	"(165.84904, -23.08678)"	0.77476783	0.546134876	152.5722622	112.4692714	98.4261152	1333.9	145.9	13.8	23.3	8	69.8	x	83.5	NGC3511	.SAS5..	69.2	76	SAB(s)c;HII    Sy1	SAB(s)c;HII    Sy1	0.003699	0.186	SP	0	0	0	1188	"1056, 1298"	633pm20	2.39E14pm1.65E13	69.4pm2.1	d:Lya	"center is 1177, two large galaxies very nearby: NGC3511 and NGC3513 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ080838.80+051440.0	UGC04239	2	"('122.16167', '5.24444')"	"(121.99208, 5.20667)"	0.088184065	0.48838872	278.7260738	416.8226385	378.3226481	8893.1	153.1	125.2551175	55.8	40.2	43.9	115	37.6	0	x	x	x	S	S	0.02923	0.361	RT	1	1	1	8740	"8560, 8876"	883pm24	3.38E14pm2.10E13	92.6pm2.1	done	center is 8718
3C66A	UGC01841	5	"('35.665', '43.03556')"	"(35.79755, 42.99205)"	0.874699255	1.027755263	346.8309544	670.4141228	162.7451694	6231.8	155.8	87.77125098	76.6	76.6	0	x	x	UGC1841	.E.....	0	-99	E              LERG	E              LERG	0.021258	0.444	SP	0	0	1	6076	"6044, 6122"	27pm6	5.20E12pm1.13E12	26.7pm3.3	d:Lya	"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J0714.5+7408	UGC03730NED02	3	"('108.65083', '74.13639')"	"(108.58467, 73.47342)"	5.28E-07	3.16E-19	123.2444344	70.7121701	458.0276725	2809.4	160.4	39.56875494	17.1	10.9	50.2	5	3.4	UGC3730	.RING..	58.3	165	Ring	Ring	0.0091	0.371	SP	0	0	0	2649	"2596, 2714"	106pm9	2.26E13pm2.12E12	40.0pm2.0	done	center is 2655 : VIRIAL AND CUSTOM INCLUDE MISMATCH
PG1302-102	MCG-02-34-006	3	"('196.3875', '-10.55556')"	"(197.44792, -10.32)"	4.09E-05	1.40E-11	132.056154	82.16610615	404.9237794	1480.7	167.7	21.700001	18.9	15.8	33.6	x	x	0	x	x	x	SAB(s)d:       Sy2	SAB(s)d:       Sy2	0.004037	0.2784	SP	0	0	0	1313	"1242, 1394"	322pm7	1.22E14pm4.52E12	35.8pm2.4	"Lya, d:Lya"	"Lya labeled at 1313, d:Lya at 1314, center is 1318 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
