AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
HE0238-1904,2517,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.631,SP,FALSE,FALSE,FALSE,2517,"2407, 2635",109pm8,2.16E13 pm 1.65E12,74.3pm 3.4,d:Lya,"d:Lya labeled at 2517, I measure 2521. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE0238-1904,2961,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.631,SP,FALSE,FALSE,FALSE,2961,"2862, 3052",65pm7,1.25E13 pm 1.37E12,66.6pm 3.3,d:Lya,"d:Lya labeled at 2961, I measure 2957. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE0238-1904,4631,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.631,SP,FALSE,FALSE,FALSE,4631,"4508, 4672",147pm5,3.20E13 pm 1.12E12,54.7pm 3.6,d:Lya,"d:Lya labeled at 4631, I measure 4590. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE1228+0131,1488,NGC4517,16,"('187.708333333', '1.25583333333')","(188.18996, 0.11503)",0.011872412,0.011084828,193.1759035,187.8498124,211.0430532,x,1420.4,1128,-360,9.765,x,32.8,4.1,82.7,x,74.1,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764,0.117,SP,?,FALSE,FALSE,1488,"1440, 1550",144pm3,3.60E13 pm 7.74E11,29.0pm 3.5,"d:Lya,Lya","d:Lya & Lya labeled at 1988 - I measure 1495 center, near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1556,NGC4536,12,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.009325217,0.009254037,197.6231383,197.3783651,347.2454511,x,2102.6,1808,252,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,?,FALSE,FALSE,1556,"1550, 1600",20pm2,3.86E12 pm 4.10E11,19.7pm 1.7,d:Lya,"d:Lya labeled at 1556 - I measure 1575, weak near NGC4517A, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1707,NGC4536,10,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.035349959,0.035080131,197.6231383,197.3783651,347.2454511,x,2102.6,1808,101,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,?,FALSE,FALSE,1707,"1600, 1814",598pm3,3.10E14 pm 3.61E12,56.2pm 1.9,"d:Lya, Lya","d:Lya near to Lya:1854(1575), near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1854,NGC4536,10,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.043268386,0.042938116,197.6231383,197.3783651,347.2454511,x,2102.6,1808,-46,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,?,TRUE,FALSE,1854,"1814, 1906",68pm3,1.39E13 pm 5.91E11,33.3pm 3.2,d:Lya,"d:Lya labeled at 1854 - I measure 1860, near to with Lya:1709, near both NGC4517A and NGC4536, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,2311,UGC07625,5,"('187.708333333', '1.25583333333')","(187.38654, 0.83964)",8.90E-07,7.31E-41,88.02795573,34.02388867,326.8214292,x,2527.3,2234,-77,35.59613696,x,10.5,1.3,82.6,x,x,0,x,x,x,Sd(f),Sd(f),0.007452,0.117,SP,?,FALSE,FALSE,2311,"2222, 2400",343pm3,1.27E14 pm 1.44E12,38.9pm 2.5,"d:Lya, Lya","near UGC07625 and IC3474, 3C273.0, center is 2311; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,5000,x,0,"('187.70833', '1.25583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.117,SP,FALSE,FALSE,FALSE,5000,"4942, 5058",20pm3,3.81E12 pm 5.19E11,41.4pm 2.7,d:Lya,"d:Lya labeled at 4991, I measure 5000, very weak : NO GALAXIES : NO GALAXIES : NO GALAXIES"
HE1228+0131,7551,x,0,"('187.70833', '1.25583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.117,SP,FALSE,FALSE,FALSE,7551,"7498, 7622",63pm3,1.28E13 pm 5.77E11,36.1pm 2.6,d:Lya,"d:Lya labeled at 7551, I measure 7560 : VIRIAL AND CUSTOM INCLUDE MISMATCH : NO GALAXIES : NO GALAXIES"
