AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
PG1302-102,3448,NGC4939,1,"('196.3875', '-10.5555555556')","(196.05996, -10.33961)",0.016237831,0.049640766,235.4681607,288.883113,264.7641822,x,3381.8,3110,-338,39.118,x,43.7,30.1,46.4,5,61.2,NGC4939,.SAS4..,59.1,10,SA(s)bc        Sy2,SA(s)bc        Sy2,0.010374,0.2784,SP,TRUE,TRUE,TRUE,3448,"3402, 3492",71pm5,1.47E13 pm 1.24E12,29.7pm 2.5,"d:Lya, OVI","marked both d:Lya at 3447 and OVI at 3448 - definitely could be OVI, but there's no OVIb, center is 3447; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
RBS1768,9360,RFGC3781,1,"('324.707083333', '-38.4777777778')","(324.43825, -38.49256)",0.012841327,0.056112215,252.6639606,336.7193253,464.1724143,x,8951.1,9162,-198,126.0713339,x,48.4,7.7,80.8,x,x,0,x,x,x,Sb,Sb,0.030561,,,TRUE,TRUE,TRUE,9360,"9288, 9426",364pm4,1.38E14 pm 4.07E12,43.6pm 1.6,Lya,center is 9357 : ONLY 1 GALAXY
RBS1768,9434,RFGC3781,1,"('324.707083333', '-38.4777777778')","(324.43825, -38.49256)",0.005382585,0.023520057,252.6639606,336.7193253,464.1724143,x,8951.1,9162,-272,126.0713339,x,48.4,7.7,80.8,x,x,0,x,x,x,Sb,Sb,0.030561,,,TRUE,FALSE,TRUE,9434,"9420, 9502",160pm5,4.70E13 pm 1.90E12,25.4pm 2.6,Lya,center is 9461 : ONLY 1 GALAXY
RBS2070,8966,MCG-05-01-020,7,"('359.7825', '-30.6275')","(359.90754, -30.65583)",0.246032092,0.256658615,200.4298993,203.5233058,237.2931127,x,8677,8961,-5,122.2119212,x,34.6,18.7,57.3,115,10.2,0,x,x,x,E,E,0.029891,0.165,NP,FALSE,FALSE,FALSE,8966,"8832, 9110",777pm10,4.11E14 pm 1.91E13,76.8pm 1.8,Lya,"center is 8971, 2dFGRSS357Z063 appears to be another name for the same galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J0714.5+7408,4074,UGC03717,1,"('108.650833333', '74.1363888889')","(108.31017, 73.84314)",0.119300158,0.12905543,201.6273975,206.1760146,270.602644,x,4268.8,4188,114,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,TRUE,TRUE,TRUE,4074,"4030, 4114",58pm7,1.18E13 pm 1.65E12,29.0pm 2.0,done,center is 4072 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
RX_J0714.5+7408,4264,UGC03717,1,"('108.650833333', '74.1363888889')","(108.31017, 73.84314)",0.142899653,0.154584674,201.6273975,206.1760146,270.602644,x,4268.8,4188,-76,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,TRUE,TRUE,TRUE,4264,"4164, 4354",410pm9,1.70E14 pm 7.19E12,43.8pm 2.6,done,"very likely Lya, but not yet fully identified, center is 4259 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
RX_J1017.5+4702,629,NGC3198,5,"('154.37875', '47.0402777778')","(154.97897, 45.54962)",0.01956555,0.014085314,191.1391896,183.5708773,377.7156519,x,884.9,663,34,13.987,x,32.3,11.3,69.5,40,55.3,NGC3198,.SBT5..,67.1,35,SB(rs)c,SB(rs)c,0.002212,,,TRUE,TRUE,TRUE,629,"584, 662",60pm17,1.24E13 pm 3.81E12,27.9pm 2.9,Lya,center is 623
RX_J1117.6+5301,1131,NGC3631,8,"('169.41875', '53.0305555556')","(170.26198, 53.16957)",0.322842763,0.277746529,187.4482789,175.9521071,197.9301941,x,1377.8,1156,25,21.6,x,31.4,30.2,16.3,x,x,NGC3631,.SAS5..,17.3,-99,SA(s)c,SA(s)c,0.003856,,,TRUE,TRUE,TRUE,1131,"1050, 1216",356pm20,1.19E14 pm 1.14E13,44.6pm 2.4,Lya,center is 1133
RX_J1117.6+5301,1259,NGC3631,7,"('169.41875', '53.0305555556')","(170.26198, 53.16957)",0.251530789,0.216395755,187.4482789,175.9521071,197.9301941,x,1377.8,1156,-103,21.6,x,31.4,30.2,16.3,x,x,NGC3631,.SAS5..,17.3,-99,SA(s)c,SA(s)c,0.003856,,,TRUE,TRUE,TRUE,1259,"1218, 1298",57pm17,1.18E13 pm 3.87E12,25.4pm 4.6,Lya,center is 1258
RX_J1236.0+2641,1012,NGC4565,18,"('189.017083333', '26.6933333333')","(189.08658, 25.98767)",0.452183811,0.540640262,291.6889111,460.1181761,159.4217198,x,1522,1230,218,12.894,x,59.6,6.9,83.3,x,39,NGC4565,.SAS3$/,82.2,136,SA(s)b? sp Sy3 Sy1.9,SA(s)b? sp Sy3 Sy1.9,0.004103,,,TRUE,FALSE,TRUE,1012,"926, 1094",337pm32,9.62E13 pm 1.35E13,52.2pm 2.7,Lya,center is 1010 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,1188,NGC4565,16,"('189.017083333', '26.6933333333')","(189.08658, 25.98767)",1.419540859,1.697232238,291.6889111,460.1181761,159.4217198,x,1522,1230,42,12.894,x,59.6,6.9,83.3,x,39,NGC4565,.SAS3$/,82.2,136,SA(s)b? sp Sy3 Sy1.9,SA(s)b? sp Sy3 Sy1.9,0.004103,,,TRUE,TRUE,TRUE,1188,"1094, 1222",288pm24,9.02E13 pm 1.25E13,37.8pm 3.4,Lya,center is 1158
RX_J1236.0+2641,6404,NGC4555,12,"('189.017083333', '26.6933333333')","(188.92157, 26.52312)",0.032110779,0.136758528,267.2452036,380.3986396,326.4921116,x,6974.4,6683,279,98.23124879,x,52.5,39.9,40.5,120,86.6,NGC4555,.E.....,31.7,125,E,E,0.022292,,,FALSE,FALSE,TRUE,6404,"6358, 6432",42pm11,8.44E12 pm 2.45E12,29.1pm 2.1,Lya,"center is 6395, weak : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1236.0+2641,7117,IC3585,13,"('189.017083333', '26.6933333333')","(189.16625, 26.82994)",0.029224371,0.053797951,221.9062923,253.9314888,356.5811986,x,7603,7312,195,107.0844161,x,40.1,38.5,16.3,90,45.7,0,x,x,x,SA(s)0^0^:,SA(s)0^0^:,0.02439,,,FALSE,FALSE,TRUE,7117,"7016, 7222",428pm13,1.38E14 pm 6.52E12,57.7pm 2.1,Lya,center is 7119 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,7223,IC3585,11,"('189.017083333', '26.6933333333')","(189.16625, 26.82994)",0.062029061,0.114186763,221.9062923,253.9314888,356.5811986,x,7603,7312,89,107.0844161,x,40.1,38.5,16.3,90,45.7,0,x,x,x,SA(s)0^0^:,SA(s)0^0^:,0.02439,,,FALSE,FALSE,FALSE,7223,"7220, 7288",55pm9,1.15E13 pm 2.05E12,22.5pm 3.3,Lya,center is 7254 : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,795,NGC4559,13,"('189.017083333', '26.6933333333')","(188.99019, 27.95999)",0.268793879,0.132343049,164.562778,132.5745074,188.3658364,x,1096.5,807,12,8.519,x,26,12.2,62,148,30.9,NGC4559,.SXT6..,66,150,SAB(rs)cd      HII,SAB(rs)cd      HII,0.002692,,,TRUE,TRUE,TRUE,795,"715, 873",295pm37,8.27E13 pm 1.45E13,47.1pm 3.1,Lya,center is 794
