AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
PG1211+143,6989,SDSSJ121430.17+141512.6,1,"('183.57375', '14.05361')","(183.62574, 14.25351)",0.000106894,2.42E-14,116.7006809,62.80375785,351.1734606,x,6929.5,-59.5,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,TRUE,TRUE,TRUE,6989,"6942, 7056",131pm6,3.01E13 pm 1.62E12,33.3pm 2.6,Lya,center is 6999 : ONLY 1 GALAXY
PG1211+143,7735,SDSSJ121352.97+141312.4,1,"('183.57375', '14.05361')","(183.47074, 14.22013)",9.16E-08,9.48E-44,91.46877343,36.98149537,368.052424,x,7710.5,-24.5,108.5978983,x,11.1,7.2,49.5,20,51,0,x,x,x,x,x,0.024722,0.0804,SP,TRUE,TRUE,TRUE,7735,"7634, 7850",156pm8,3.27E13 pm 1.79E12,66.2pm 2.9,Lya,center is 7742 : ONLY 1 GALAXY
TON488,1250,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.043604993,0.002950517,92.03657223,37.48236919,58.03988156,x,1620.3,370.3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,TRUE,TRUE,TRUE,1250,"1237, 1297",68pm9,1.48E13 pm 2.20E12,24.0pm 2.0,d:Lya,"d:Lya only, center is 1267. UGC05478 is much closer, but >400 km/s away. The ramp up of EW of subsequent lines getting closer to this velocity is interesting though..."
TON488,1375,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.298545295,0.020200963,92.03657223,37.48236919,58.03988156,x,1620.3,245.3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,TRUE,TRUE,TRUE,1375,"1284, 1480",452pm12,1.75E14 pm 9.83E12,51.2pm 2.4,done,center is 1382
TON488,4101,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4101,"4050, 4152",55pm10,1.10E13 pm 2.07E12,43.7pm 2.7,d:Lya,d:Lya marked at 4101 is extremely weak/questionable : NO GALAXIES
TON488,4786,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4786,"4746, 4836",44pm9,8.77E12 pm 1.82E12,31.1pm 3.1,done,center is 4791 : NO GALAXIES
TON488,5737,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,5737,"5702, 5758",34pm7,6.89E12 pm 1.45E12,16.0pm 3.5,done,center is 5730 : NO GALAXIES
SDSSJ135341.03+361948.0,6172,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6172,"6074, 6254",274pm10,7.25E13 pm 3.28E12,50.2pm 2.3,done,center is 6164 : NO GALAXIES
SDSSJ135341.03+361948.0,6419,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6419,"6388, 6450",48pm7,9.82E12 pm 1.51E12,23.6pm 2.6,no,"not marked, but looks like a small Lya line here : NO GALAXIES"
SDSSJ135341.03+361948.0,6531,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6531,"6450, 6600",450pm6,2.05E14 pm 9.45E12,45.3pm 2.0,done,center is 6525 : NO GALAXIES
